INFO 2024-09-05 10:12:45,534 Watching for file changes with StatReloader
INFO 2024-09-05 10:12:47,876 "GET /contact/ HTTP/1.1" 200 15511
INFO 2024-09-05 10:12:48,061 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:12:48,062 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:12:48,062 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:12:48,062 "GET /static/blurb/css/contact.css HTTP/1.1" 200 443
INFO 2024-09-05 10:12:48,063 "GET /static/css/styles.css HTTP/1.1" 200 4999
INFO 2024-09-05 10:12:48,063 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:12:48,064 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:12:48,064 "GET /static/images/mailchimp.webp HTTP/1.1" 200 19650
INFO 2024-09-05 10:12:48,310 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:12:48,681 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:12:49,850 "GET / HTTP/1.1" 200 12876
INFO 2024-09-05 10:12:52,181 "GET /contact/ HTTP/1.1" 200 15511
INFO 2024-09-05 10:12:54,682 "GET /library/ HTTP/1.1" 200 34781
INFO 2024-09-05 10:12:59,647 "GET /accounts/signup/ HTTP/1.1" 200 14403
WARNING 2024-09-05 10:12:59,718 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:12:59,718 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:13:03,435 "GET /accounts/signup/ HTTP/1.1" 200 14403
WARNING 2024-09-05 10:13:03,512 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:13:03,512 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:13:08,510 "GET / HTTP/1.1" 200 12876
INFO 2024-09-05 10:13:22,252 "GET /accounts/login/ HTTP/1.1" 200 12893
WARNING 2024-09-05 10:13:22,314 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:13:22,314 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:13:50,017 "GET /accounts/login/ HTTP/1.1" 200 12913
INFO 2024-09-05 10:13:50,085 "GET /static/css/styles.css HTTP/1.1" 200 4999
INFO 2024-09-05 10:13:50,086 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:13:50,086 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:13:50,089 "GET /static/js/actions.js HTTP/1.1" 200 3988
WARNING 2024-09-05 10:13:50,091 Not Found: /accounts/static/images/mailchimp.webp
